002582 好想你 日线 后复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/05/20,49.98,51.61,46.52,48.60,11413911,555999552.00
2011/05/23,47.88,49.48,46.70,47.95,5635613,272343360.00
2011/05/24,48.10,52.75,48.10,51.75,4866543,246542608.00
2011/05/25,51.10,53.19,50.53,50.71,3985939,206806048.00
2011/05/26,51.70,54.20,51.01,52.68,2948377,154989328.00
2011/05/27,51.80,54.30,50.00,52.70,2256319,118365008.00
2011/05/30,51.90,56.36,51.20,53.55,2331488,126510672.00
2011/05/31,53.62,56.30,53.00,55.92,2096523,114924576.00
2011/06/01,55.97,61.51,55.30,61.51,2515460,148016608.00
2011/06/02,61.00,62.88,57.86,60.08,2224595,134150136.00
2011/06/03,59.58,60.67,58.50,59.31,1387553,82745512.00
2011/06/07,59.00,59.80,57.58,58.50,1638374,95869392.00
2011/06/08,58.01,59.00,57.61,58.62,1412105,82535864.00
2011/06/09,58.38,58.38,53.80,54.00,3285527,180351440.00
2011/06/10,53.50,54.37,52.60,53.90,1250613,66919816.00
2011/06/13,53.00,54.74,52.13,54.35,803403,43224980.00
2011/06/14,53.85,55.65,53.72,55.10,932444,51305224.00
2011/06/15,54.65,55.18,53.80,54.00,1073530,58369836.00
2011/06/16,53.22,54.97,52.68,52.98,812595,43537640.00
2011/06/17,52.60,53.40,51.00,51.01,1621955,83900088.00
2011/06/20,51.01,51.20,50.01,50.18,419830,21136726.00
2011/06/21,50.10,50.79,49.12,50.25,891800,44689444.00
2011/06/22,50.50,50.80,49.69,50.07,392066,19678322.00
2011/06/23,50.07,55.08,48.80,52.99,1108164,57987364.00
2011/06/24,52.21,54.00,52.02,53.20,646655,34435504.00
2011/06/27,52.84,53.90,52.04,52.75,822933,43676704.00
2011/06/28,52.21,52.25,50.00,51.00,1184825,60550264.00
2011/06/29,50.72,51.50,49.99,50.49,770066,38863400.00
2011/06/30,50.49,52.00,50.30,51.95,641719,32739400.00
2011/07/01,51.88,52.98,51.43,51.70,562760,29292704.00
2011/07/04,51.65,52.70,51.60,52.40,909424,47374732.00
2011/07/05,52.69,53.69,52.22,53.19,817621,43480068.00
2011/07/06,52.95,54.35,52.01,53.99,866717,46115336.00
2011/07/07,53.80,56.50,53.80,55.62,1152858,63903496.00
2011/07/08,55.13,55.49,52.70,52.95,1180564,63486320.00
2011/07/11,52.81,53.81,52.30,53.81,892640,47317692.00
2011/07/12,53.37,53.53,52.51,53.05,463148,24592688.00
2011/07/13,53.10,54.50,53.10,54.39,569001,30765096.00
2011/07/14,54.40,56.44,54.12,55.49,879417,48724284.00
2011/07/15,55.90,57.47,54.54,54.60,1468529,81710992.00
2011/07/18,54.57,55.28,53.81,55.07,988184,54021000.00
2011/07/19,55.10,55.10,53.30,53.62,574519,30925726.00
2011/07/20,53.83,54.20,53.42,53.55,473145,25385264.00
2011/07/21,53.68,54.37,53.15,53.15,513209,27633600.00
2011/07/22,52.01,52.95,50.30,51.25,1622479,83824704.00
2011/07/25,51.09,51.75,50.51,51.29,1041711,53300464.00
2011/07/26,51.00,51.96,51.00,51.80,599167,30781534.00
2011/07/27,51.60,52.58,51.25,52.13,592724,30770300.00
